sourceId,推广组,推广计划,创意,点击日期,点击时间,广告位,URL,城市,省,exchange,竞价模式,扣费(元)
ftG8TzbnSy00,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,16:21:16,首页底部导流_其他_其他_300x250_矩形_30k|北京时间左侧_文章内嵌矩形,http://item.btime.com/43mbit4slc19pbrn22l09o7bg17?from=haoindex,绍兴,浙江,MAX精选,CPC,2.62
fth7Tj1Z8o10,A-36计2-防御为王-广告位计划,36计2-防御为王-2.88,防御为王300x250.swf,2017/05/22,16:25:22,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/322qtgoq14r9do90o42r125ru1i?from=mini,哈尔滨,黑龙江,MAX精选,CPC,2.98
fthKi0WEQTZ0,A-36计2-守卫家园-广告位计划,导航_娱乐频道搜索框下方矩形,300x250.swf,2017/05/22,12:34:22,导航_内容页_首屏_300x250_30k|娱乐频道搜索框下方矩形,http://yule.360.cn/content/135087,伊犁州,新疆,MAX精选,CPC,3.04
fthsymJ0bE60,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,16:21:43,浏览器新标签页导流_首页_首屏_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/304heoi2vcj8dooam0cbigm7svn?from=browser,杭州,浙江,MAX精选,CPC,3.15
ftiPSj1Txdr0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:05:50,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,秦皇岛,河北,MAX精选,CPC,2.02
ftkEynRWRfr0,New-36计2-一泊四日-广告位计划,已测广告位2.88,300x250.swf,2017/05/22,16:17:27,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/36dafsk3kvj8mf9fp6s5l0stbg2?from=mini,南昌,江西,MAX精选,CPC,2.37
ftLY84UlOaj0,A-36计2-守卫家园-广告位计划,导航_娱乐频道内容页下拉跟随矩形02,300x250.swf,2017/05/22,12:38:01,导航_内容页_二屏_300x250_30k|娱乐频道内容页下拉跟随矩形02,http://yule.360.cn/content/134819,温州,浙江,MAX精选,CPC,3.28
ftmMrGmQTyr0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,08:11:27,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,null,其他,其他,MAX精选,null,0
ftNEsMRCvdI0,A-36计2-防御为王-广告位计划,36计2-防御为王-2.88,防御为王300x250.swf,2017/05/22,16:13:32,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/322qtgoq14r9do90o42r125ru1i?from=mini,其他,北京,MAX精选,CPC,3.01
ftNw3rvbR440,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:01:52,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,绍兴,浙江,MAX精选,CPC,0.9
